Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069	301	-120	21	13069
302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086	302	-17	17	13086
303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103	303	-17	17	13103
304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122	304	-19	19	13122
305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141	305	-19	19	13141
306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160	306	-19	19	13160
307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178	307	-18	18	13178
308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197	308	-19	19	13197
309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214	309	-17	17	13214
310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231	310	-17	17	13231
311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248	311	-17	17	13248
312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266	312	-18	18	13266
313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284	313	-18	18	13284
314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304	314	-20	20	13304
315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321	315	-17	17	13321
316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338	316	-17	17	13338
317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355	317	-17	17	13355
318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373	318	-18	18	13373
319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393	319	-20	20	13393
320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410	320	-17	17	13410
321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430	321	-20	20	13430
322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460	322	-228	30	13460
323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485	323	-124	25	13485
324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502	324	-17	17	13502
325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521	325	-19	19	13521
326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538	326	-17	17	13538
327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555	327	-17	17	13555
