Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587	224	-141	42	11587
225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606	225	-19	19	11606
226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625	226	-19	19	11625
227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642	227	-17	17	11642
228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659	228	-17	17	11659
229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679	229	-20	20	11679
230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699	230	-20	20	11699
231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720	231	-21	21	11720
232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738	232	-18	18	11738
233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757	233	-19	19	11757
234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782	234	-25	25	11782
235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803	235	-21	21	11803
236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820	236	-17	17	11820
237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839	237	-19	19	11839
238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858	238	-19	19	11858
239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879	239	-21	21	11879
240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902	240	-23	23	11902
241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919	241	-17	17	11919
242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940	242	-21	21	11940
243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960	243	-20	20	11960
244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977	244	-17	17	11977
245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998	245	-21	21	11998
246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017	246	-19	19	12017
247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034	247	-17	17	12034
248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056	248	-22	22	12056
249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074	249	-18	18	12074
250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095	250	-21	21	12095
251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112	251	-17	17	12112
252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133	252	-21	21	12133
