Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919	126	-26	26	11919
127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939	127	-20	20	11939
128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964	128	-25	25	11964
129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982	129	-18	18	11982
130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015	130	-33	33	12015
131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042	131	-27	27	12042
132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061	132	-19	19	12061
133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097	133	-135	36	12097
134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130	134	-33	33	12130
135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165	135	-35	35	12165
136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203	136	-38	38	12203
137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243	137	-139	40	12243
138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309	138	-363	66	12309
139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360	139	-51	51	12360
140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387	140	-27	27	12387
141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421	141	-34	34	12421
142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456	142	-35	35	12456
143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481	143	-25	25	12481
144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511	144	-30	30	12511
145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540	145	-29	29	12540
146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575	146	-35	35	12575
147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601	147	-26	26	12601
148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641	148	-238	40	12641
149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660	149	-19	19	12660
150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687	150	-27	27	12687
151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713	151	-26	26	12713
152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745	152	-131	32	12745
153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792	153	-47	47	12792
154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828	154	-36	36	12828
155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863	155	-134	35	12863
156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886	156	-122	23	12886
157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913	157	-27	27	12913
158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952	158	-39	39	12952
159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972	159	-20	20	12972
160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995	160	-23	23	12995
161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018	161	-122	23	13018
162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086	162	-68	68	13086
163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138	163	-52	52	13138
164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165	164	-27	27	13165
165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202	165	-37	37	13202
166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227	166	-25	25	13227
167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266	167	-39	39	13266
168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325	168	-158	59	13325
169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353	169	-28	28	13353
170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399	170	-46	46	13399
171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427	171	-28	28	13427
172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451	172	-24	24	13451
173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501	173	-50	50	13501
174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533	174	-32	32	13533
175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563	175	-30	30	13563
176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584	176	-21	21	13584
177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615	177	-31	31	13615
178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654	178	-39	39	13654
179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691	179	-37	37	13691
180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756	180	-65	65	13756
181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819	181	-162	63	13819
182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839	182	-20	20	13839
183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882	183	-43	43	13882
184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905	184	-23	23	13905
185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931	185	-26	26	13931
186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977	186	-46	46	13977
187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004	187	-27	27	14004
188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034	188	-30	30	14034
189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059	189	-25	25	14059
