Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983	219	-17	17	7983
220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000	220	-17	17	8000
221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022	221	-22	22	8022
222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048	222	-26	26	8048
223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065	223	-17	17	8065
224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082	224	-17	17	8082
225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099	225	-17	17	8099
226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136	226	-235	37	8136
227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153	227	-17	17	8153
228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176	228	-122	23	8176
229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196	229	-20	20	8196
230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216	230	-20	20	8216
231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236	231	-20	20	8236
232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255	232	-19	19	8255
233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273	233	-18	18	8273
234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293	234	-20	20	8293
235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314	235	-21	21	8314
236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332	236	-18	18	8332
237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355	237	-23	23	8355
238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380	238	-25	25	8380
239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405	239	-25	25	8405
240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426	240	-21	21	8426
241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444	241	-18	18	8444
242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462	242	-18	18	8462
243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484	243	-22	22	8484
244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501	244	-17	17	8501
