Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580	294	-21	21	9580
295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597	295	-17	17	9597
296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614	296	-17	17	9614
297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631	297	-17	17	9631
298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649	298	-18	18	9649
299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666	299	-17	17	9666
300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687	300	-21	21	9687
301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705	301	-18	18	9705
302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724	302	-19	19	9724
303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747	303	-23	23	9747
304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765	304	-18	18	9765
305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783	305	-18	18	9783
306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800	306	-17	17	9800
307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821	307	-21	21	9821
308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838	308	-17	17	9838
309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858	309	-20	20	9858
310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881	310	-23	23	9881
311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900	311	-19	19	9900
312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917	312	-17	17	9917
313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935	313	-18	18	9935
314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958	314	-23	23	9958
315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975	315	-17	17	9975
316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999	316	-24	24	9999
317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017	317	-18	18	10017
318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034	318	-17	17	10034
319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055	319	-21	21	10055
320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072	320	-17	17	10072
321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097	321	-25	25	10097
