Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725	164	-15	15	2725
165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740	165	-15	15	2740
166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753	166	-13	13	2753
167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766	167	-13	13	2766
168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783	168	-17	17	2783
169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798	169	-15	15	2798
170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811	170	-13	13	2811
171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826	171	-15	15	2826
172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844	172	-18	18	2844
173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857	173	-13	13	2857
174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872	174	-15	15	2872
175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889	175	-116	17	2889
176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902	176	-13	13	2902
177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924	177	-121	22	2924
178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937	178	-13	13	2937
179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954	179	-17	17	2954
180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970	180	-115	16	2970
181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992	181	-220	22	2992
182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012	182	-20	20	3012
183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032	183	-119	20	3032
184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053	184	-120	21	3053
185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070	185	-17	17	3070
186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083	186	-13	13	3083
187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096	187	-13	13	3096
188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115	188	-19	19	3115
189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130	189	-15	15	3130
190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143	190	-13	13	3143
191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156	191	-13	13	3156
192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169	192	-13	13	3169
193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184	193	-15	15	3184
194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209	194	-124	25	3209
195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226	195	-17	17	3226
196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239	196	-13	13	3239
197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258	197	-19	19	3258
198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271	198	-13	13	3271
199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284	199	-13	13	3284
